Species,Group
salmo_salar,can/alt
panthera_leo,can/alt
takifugu_rubripes,can/alt
sinocyclocheilus_grahami,can/alt
hucho_hucho,can/alt
geospiza_fortis,can/alt
eptatretus_burgeri,alt
callorhinchus_milii,can/alt
paramormyrops_kingsleyae,can/alt
mesocricetus_auratus,can/alt
acanthochromis_polyacanthus,alt
microcebus_murinus,can/alt
vulpes_vulpes,can
neolamprologus_brichardi,can
neolamprologus_brichardi,can/alt
hippocampus_comes,can/alt
caenorhabditis_elegans,undecided
mastacembelus_armatus,can/alt
gadus_morhua,can/alt
salmo_salar,can/alt
esox_lucius,can/alt
nothobranchius_furzeri,can/alt
salvator_merianae,can
dicentrarchus_labrax,can/alt
myotis_lucifugus,alt
kryptolebias_marmoratus,can/alt
macaca_nemestrina,can/alt
takifugu_rubripes,can/alt
fundulus_heteroclitus,can/alt
nothobranchius_furzeri,can/alt
oncorhynchus_mykiss,can/alt
macaca_fascicularis,can/alt
anser_brachyrhynchus,can/alt
nomascus_leucogenys,can/alt
carassius_auratus,can/alt
rhinopithecus_bieti,can/alt
poecilia_latipinna,can
acanthochromis_polyacanthus,can/alt
pundamilia_nyererei,can
cercocebus_atys,can/alt
salmo_trutta,can/alt
bos_mutus,can/alt
sinocyclocheilus_grahami,can/alt
labrus_bergylta,can
haplochromis_burtoni,can/alt
phascolarctos_cinereus,can/alt
ictidomys_tridecemlineatus,can/alt
cottoperca_gobio,can/alt
amphiprion_ocellaris,can
astyanax_mexicanus,can/alt
sander_lucioperca,can/alt
caenorhabditis_elegans,can
betta_splendens,can/alt
oncorhynchus_tshawytscha,can/alt
sarcophilus_harrisii,can/alt
tetraodon_nigroviridis,alt
salmo_salar,alt
felis_catus,can
caenorhabditis_elegans,can
oncorhynchus_tshawytscha,can/alt
salmo_trutta,can/alt
vicugna_pacos,alt
