Species	Group
Haplochromis_burtoni	can/alt
Naja_naja	can
Sander_lucioperca	can/alt
Scophthalmus_maximus	can/alt
Tetraodon_nigroviridis	alt
Vicugna_pacos	alt
Mesocricetus_auratus	can/alt
Sciurus_vulgaris	can/alt
Danio_rerio	can/alt
Dicentrarchus_labrax	can/alt
Cyprinodon_variegatus	can/alt
Myotis_lucifugus	alt
Macaca_fascicularis	can/alt
Neolamprologus_brichardi	can/alt
Nannospalax_galili	can/alt
Poecilia_latipinna	can/alt
Ictalurus_punctatus	can
Astatotilapia_calliptera	can
Salmo_trutta	can/alt
Chelonoidis_abingdonii	can/alt
Esox_lucius	can/alt
Moschus_moschiferus	can/alt
Caenorhabditis_elegans	undecided
Betta_splendens	can/alt
Cynoglossus_semilaevis	can/alt
Anabas_testudineus	can/alt
Hippocampus_comes	can/alt
Crocodylus_porosus	can
Camelus_dromedarius	can/alt
Jaculus_jaculus	alt
Erpetoichthys_calabaricus	can/alt
Vombatus_ursinus	can
Equus_asinus	can/alt
Haplochromis_burtoni	can/alt
Serinus_canaria	can
Amphiprion_ocellaris	can
Myripristis_murdjan	can/alt
Oncorhynchus_kisutch	can/alt
Sinocyclocheilus_grahami	can/alt
Dipodomys_ordii	can/alt
Fundulus_heteroclitus	can
Oncorhynchus_mykiss	can/alt
Salmo_trutta	can/alt
Oryzias_javanicus	can/alt
Pongo_abelii	can/alt
Ictalurus_punctatus	can
Prolemur_simus	can/alt
Clupea_harengus	alt
Sarcophilus_harrisii	can/alt
Oreochromis_niloticus	can/alt
Nomascus_leucogenys	can/alt
Bos_grunniens	can/alt
Stegastes_partitus	can
Balaenoptera_musculus	can/alt
Ficedula_albicollis	can/alt
Dasypus_novemcinctus	can
Paramormyrops_kingsleyae	can/alt
Panthera_pardus	can/alt
Salmo_salar	can/alt
Esox_lucius	can/alt
Gasterosteus_aculeatus	can/alt
Ursus_maritimus	can
Mandrillus_leucophaeus	can/alt
Microcebus_murinus	can/alt
Scleropages_formosus	can/alt
Gallus_gallus	can/alt
Rhinopithecus_bieti	can/alt
Labrus_bergylta	can
Anser_brachyrhynchus	can/alt
Poecilia_formosa	can
Carassius_auratus	can/alt
Salmo_salar	can/alt
Carassius_auratus	can/alt
Oncorhynchus_kisutch	can/alt
Sphenodon_punctatus	can
Maylandia_zebra	can
Hucho_hucho	can/alt
Monodon_monoceros	can/alt
Otolemur_garnettii	alt
Taeniopygia_guttata	can/alt
Petromyzon_marinus	undecided
Hucho_hucho	can/alt
Sparus_aurata	can/alt
Sander_lucioperca	can/alt
Gadus_morhua	can/alt
Tetraodon_nigroviridis	alt
Astatotilapia_calliptera	can/alt
Delphinapterus_leucas	can
Lepisosteus_oculatus	can
Caenorhabditis_elegans	can
Gasterosteus_aculeatus	can/alt
Cyclopterus_lumpus	can
Carassius_auratus	can/alt
Dicentrarchus_labrax	can/alt
Takifugu_rubripes	can/alt
Oncorhynchus_kisutch	can/alt
Bos_mutus	can/alt
Pseudonaja_textilis	can
Aotus_nancymaae	can/alt
Pygocentrus_nattereri	can/alt
Amphiprion_ocellaris	can
Amphilophus_citrinellus	can
Pundamilia_nyererei	can
Fundulus_heteroclitus	can/alt
Ursus_americanus	can/alt
Ictidomys_tridecemlineatus	can/alt
Oryzias_sinensis	can/alt
Hucho_hucho	can/alt
Pan_paniscus	can/alt
Ailuropoda_melanoleuca	can/alt
Phocoena_sinus	can/alt
Neovison_vison	can/alt
Latimeria_chalumnae	can/alt
Acanthochromis_polyacanthus	alt
Salvator_merianae	can
Myripristis_murdjan	can/alt
Pelodiscus_sinensis	can
Oryzias_latipes	can/alt
Catagonus_wagneri	can/alt
Parus_major	can/alt
Oryzias_melastigma	can/alt
Paramormyrops_kingsleyae	can/alt
Anabas_testudineus	can/alt
Stegastes_partitus	can
Hippocampus_comes	can
Sinocyclocheilus_grahami	can/alt
Denticeps_clupeoides	can/alt
Chinchilla_lanigera	can/alt
Notechis_scutatus	alt
Electrophorus_electricus	can/alt
Sinocyclocheilus_grahami	can/alt
Scophthalmus_maximus	can/alt
Gopherus_evgoodei	can
